Path,True Label,Predicted Label
plant_diseases/val\Nutrient deficiency\t1669.jpg,Nutrient deficiency,Burn
plant_diseases/val\Nutrient deficiency\www1.jpg,Nutrient deficiency,Burn
plant_diseases/val\Powdery mildew\1637.jpg,Powdery mildew,Healthy
plant_diseases/val\Powdery mildew\1982.jpg,Powdery mildew,Rust
plant_diseases/val\Powdery mildew\616.jpg,Powdery mildew,Healthy
plant_diseases/val\Powdery mildew\617.jpg,Powdery mildew,Downy mildew
plant_diseases/val\Powdery mildew\620.jpg,Powdery mildew,Healthy
plant_diseases/val\Powdery mildew\6999.jpg,Powdery mildew,Spider mite
plant_diseases/val\Powdery mildew\p13.jpg,Powdery mildew,Thrips
plant_diseases/val\Powdery mildew\sbu1.jpg,Powdery mildew,Whitefly
plant_diseases/val\Rust\238.jpg,Rust,Anthracnose
plant_diseases/val\Rust\442.jpg,Rust,Bacterial spot
plant_diseases/val\Rust\572.jpg,Rust,Black chaff
plant_diseases/val\Rust\aug_0_10.jpg,Rust,Healthy
plant_diseases/val\Rust\aug_1_10.jpg,Rust,Healthy
plant_diseases/val\Rust\aug_1_233.jpg,Rust,Bacterial spot
plant_diseases/val\Scale\246722.jpg,Scale,Thrips
plant_diseases/val\Scale\246729.jpg,Scale,Whitefly
plant_diseases/val\Scale\29.jpg,Scale,Rust
plant_diseases/val\Scale\35.jpg,Scale,Anthracnose
plant_diseases/val\Scale\aug_0_24672.jpg,Scale,Rust
plant_diseases/val\Scale\aug_0_246722.jpg,Scale,Marginal leaf necrosis
plant_diseases/val\Scale\aug_0_246737.jpg,Scale,Thrips
plant_diseases/val\Scale\aug_0_7.jpg,Scale,Mealybug
plant_diseases/val\Scale\aug_0_8.jpg,Scale,Alternaria leaf blight
plant_diseases/val\Scale\aug_1_242.jpg,Scale,Anthracnose
plant_diseases/val\Scale\aug_1_246722.jpg,Scale,Thrips
plant_diseases/val\Scale\aug_1_246728.jpg,Scale,Whitefly
plant_diseases/val\Scale\n1.jpg,Scale,Dry rot
plant_diseases/val\Scale\rbs272.jpg,Scale,Marginal leaf necrosis
plant_diseases/val\Shot hole\aug_0_10.jpg,Shot hole,Alternaria leaf blight
plant_diseases/val\Shot hole\aug_0_2.jpg,Shot hole,Anthracnose
plant_diseases/val\Shot hole\aug_0_7.jpg,Shot hole,Alternaria leaf blight
plant_diseases/val\Shot hole\cs23.jpg,Shot hole,Scale
plant_diseases/val\Sooty mold\16235.jpg,Sooty mold,Whitefly
plant_diseases/val\Sooty mold\16242.jpg,Sooty mold,Thrips
plant_diseases/val\Sooty mold\16247.jpg,Sooty mold,Downy mildew
plant_diseases/val\Sooty mold\1625.jpg,Sooty mold,Bacterial spot
plant_diseases/val\Spider mite\1602.jpg,Spider mite,Scale
plant_diseases/val\Spider mite\aug_1_111111.jpg,Spider mite,Mosaic virus
plant_diseases/val\Spider mite\gsm26.jpg,Spider mite,Mosaic virus
plant_diseases/val\Spider mite\rsm13.jpg,Spider mite,Healthy
plant_diseases/val\Spider mite\rsm15.jpg,Spider mite,Leaf deformation
plant_diseases/val\Spider mite\rsm9.jpg,Spider mite,Black chaff
plant_diseases/val\Spider mite\rspm18.jpg,Spider mite,Leaf miners
plant_diseases/val\Spider mite\rspm26.jpg,Spider mite,Rust
plant_diseases/val\Spider mite\rspm8.jpg,Spider mite,Healthy
plant_diseases/val\Spider mite\s15.jpg,Spider mite,Nutrient deficiency
plant_diseases/val\Spider mite\s17.jpg,Spider mite,Healthy
plant_diseases/val\Spider mite\sbu1.jpg,Spider mite,Aphid effects
plant_diseases/val\Spider mite\zasm10.jpg,Spider mite,Thrips
plant_diseases/val\Spider mite\zasm21.jpg,Spider mite,Edema
plant_diseases/val\Spider mite\zasm23.jpg,Spider mite,Healthy
plant_diseases/val\Thrips\21.jpg,Thrips,Edema
plant_diseases/val\Thrips\27.jpg,Thrips,Spider mite
plant_diseases/val\Thrips\aug_1_11.jpg,Thrips,Aphid
plant_diseases/val\Thrips\aug_1_20.jpg,Thrips,Scale
plant_diseases/val\Thrips\aug_1_21.jpg,Thrips,Edema
plant_diseases/val\Thrips\aug_1_29.jpg,Thrips,Nutrient deficiency
plant_diseases/val\Thrips\aug_1_338.jpg,Thrips,Sooty mold
plant_diseases/val\Whitefly\13.jpg,Whitefly,Sooty mold
plant_diseases/val\Whitefly\18.jpg,Whitefly,Powdery mildew
plant_diseases/val\Whitefly\aug_0_1022.jpg,Whitefly,Nutrient deficiency
plant_diseases/val\Whitefly\aug_0_13.jpg,Whitefly,Sooty mold
plant_diseases/val\Whitefly\aug_1_18.jpg,Whitefly,Powdery mildew
plant_diseases/val\Whitefly\aug_1_w1.jpg,Whitefly,Spider mite
plant_diseases/val\Wilting\aug_0_16.jpg,Wilting,Rust
plant_diseases/val\Wilting\w18.jpg,Wilting,Spider mite
